Rank,College,G,IP,R,ER,ERA
1,Oklahoma ,62,401.0,76,64,1.12
2,Washington ,62,409.2,81,69,1.18
3,Drake ,57,387.0,98,70,1.27
4,Auburn ,58,397.1,93,78,1.37
5,Oregon ,63,417.0,99,82,1.38
6,Florida ,67,426.2,104,87,1.43
7,Michigan ,57,371.1,84,76,1.43
8,Florida St. ,70,463.0,123,99,1.50
9,Arizona St. ,61,413.2,125,91,1.54
10,LSU ,62,446.0,119,100,1.57
11,Texas St. ,59,414.0,140,107,1.81
12,UCLA ,65,428.2,144,112,1.83
13,Georgia ,61,400.0,138,106,1.86
14,Minnesota ,58,384.0,138,104,1.90
15,Houston ,59,420.0,153,115,1.92
16,FGCU ,56,394.2,152,109,1.93
17,Sacred Heart ,56,379.1,131,105,1.94
18,Arizona ,59,385.1,130,107,1.94
19,Louisiana ,57,418.2,149,119,1.99
20,Liberty ,63,425.1,143,124,2.04
21,Duke ,56,386.0,188,113,2.05
22,Mississippi St. ,61,404.1,162,119,2.06
23,Lipscomb ,50,345.1,126,102,2.07
24,UNC Greensboro ,59,401.2,146,119,2.07
25,South Carolina ,66,433.1,149,130,2.10
26,James Madison ,57,380.2,172,117,2.15
27,Kennesaw St. ,56,370.2,157,115,2.17
28,Longwood ,54,378.1,145,119,2.20
29,UC Davis ,51,352.2,137,111,2.20
30,Texas A&M ,62,413.2,154,131,2.22
31,Hofstra ,55,371.2,135,119,2.24
32,Austin Peay ,58,392.0,156,126,2.25
33,Nicholls St. ,55,370.2,154,120,2.27
34,DePaul ,52,355.0,137,115,2.27
35,Long Beach St. ,57,388.0,152,126,2.27
36,Furman ,56,377.0,154,124,2.30
37,Morehead St. ,51,351.0,149,116,2.31
38,Virginia Tech ,53,355.2,171,119,2.34
39,Arkansas ,59,388.1,161,130,2.34
40,Iowa ,53,354.0,195,119,2.35
41,Syracuse ,50,339.0,145,114,2.35
42,USC Upstate ,54,355.2,149,120,2.36
43,Massachusetts ,49,325.1,142,110,2.37
44,North Dakota St. ,53,354.2,155,121,2.39
45,Boston U. ,59,395.2,169,136,2.41
46,North Florida ,54,363.1,166,125,2.41
47,California ,56,374.1,151,129,2.41
48,Morgan St. ,45,304.1,148,105,2.42
49,Alabama ,56,367.2,162,128,2.44
50,Texas ,59,394.2,162,138,2.45
51,Boston College ,53,363.2,172,128,2.46
52,South Fla. ,62,408.0,191,144,2.47
53,Tennessee ,62,409.2,176,145,2.48
54,Ball St. ,56,369.1,171,131,2.48
55,Radford ,55,375.2,161,134,2.50
56,Ohio ,57,382.2,183,137,2.51
57,Memphis ,58,381.0,173,137,2.52
58,FIU ,55,380.1,166,137,2.52
59,UCF ,56,368.0,179,133,2.53
60,Belmont ,50,333.0,161,121,2.54
61,South Alabama ,56,380.0,181,140,2.58
62,Saint Francis ,58,381.0,181,142,2.61
63,Oklahoma St. ,61,400.2,197,151,2.64
64,Baylor ,56,368.1,168,141,2.68
65,Valparaiso ,51,339.0,172,130,2.68
66,Toledo ,58,401.0,203,156,2.72
67,Loyola Chicago ,50,328.1,159,128,2.73
68,Tulsa ,59,384.2,188,150,2.73
69,Georgia Tech ,54,368.0,200,145,2.76
70,UC Riverside ,62,407.1,205,162,2.78
71,Middle Tenn. ,61,403.2,206,161,2.79
72,Indiana ,56,373.0,206,149,2.80
73,Ole Miss ,57,388.0,189,155,2.80
74,Fla. Atlantic ,56,403.0,211,161,2.80
75,Jacksonville ,56,375.0,178,150,2.80
76,SFA ,55,369.0,187,148,2.81
77,UNLV ,53,364.0,174,147,2.83
78,Sacramento St. ,51,348.1,180,142,2.85
79,Dayton ,56,370.1,194,151,2.85
80,Oregon St. ,58,396.0,219,162,2.86
81,Albany ,48,312.0,145,129,2.89
82,Ohio St. ,52,347.2,192,144,2.90
83,Manhattan ,53,364.0,189,151,2.90
84,Loyola Marymount ,59,403.1,190,168,2.92
85,Evansville ,49,345.0,195,144,2.92
86,Missouri St. ,52,349.2,183,147,2.94
87,BYU ,58,368.0,196,155,2.95
88,Maine ,47,313.1,181,132,2.95
89,Notre Dame ,57,374.1,208,158,2.95
90,Southeastern La. ,59,395.1,216,169,2.99
91,Southern Ill. ,53,362.1,206,155,2.99
92,Wisconsin ,52,343.1,188,147,3.00
93,UT Martin ,57,385.0,203,165,3.00
94,Eastern Ill. ,56,381.2,195,164,3.01
95,UNI ,52,348.1,193,150,3.01
96,Mercer ,52,348.0,180,150,3.02
97,Louisiana Tech ,57,372.2,187,161,3.02
98,Pittsburgh ,52,346.1,181,150,3.03
99,UConn ,55,360.1,207,157,3.05
100,Bucknell ,51,339.1,187,148,3.05
101,Eastern Ky. ,66,435.1,232,190,3.06
102,Indiana St. ,54,359.0,192,157,3.06
103,Seattle U ,56,397.0,220,174,3.07
104,Monmouth ,48,329.1,181,145,3.08
105,Montana ,55,367.2,196,162,3.08
106,Fordham ,56,360.2,219,159,3.09
107,Army West Point ,54,355.1,216,158,3.11
108,Kentucky ,56,363.1,196,162,3.12
109,Central Mich. ,48,318.1,174,143,3.14
110,Boise St. ,56,358.1,215,162,3.16
111,N.C. Central ,46,302.0,176,137,3.18
112,San Diego St. ,51,345.0,191,158,3.21
113,Saint Joseph's ,49,325.0,201,149,3.21
114,SIUE ,46,301.0,153,138,3.21
115,Troy ,60,414.1,218,190,3.21
116,North Carolina ,56,374.0,210,173,3.24
117,Texas Southern ,43,283.2,180,132,3.26
118,Stony Brook ,47,308.2,191,144,3.27
119,UAB ,59,396.1,262,185,3.27
120,Cal St. Fullerton ,60,398.1,242,186,3.27
121,Jacksonville St. ,60,402.1,241,188,3.27
122,Southeast Mo. St. ,53,346.2,193,162,3.27
123,Western Mich. ,54,378.2,224,177,3.27
124,Siena ,44,288.2,165,135,3.27
125,Iona ,46,311.2,199,146,3.28
126,San Jose St. ,49,322.0,200,151,3.28
127,Dartmouth ,40,262.0,151,123,3.29
128,Illinois ,55,366.1,229,172,3.29
129,Lehigh ,51,347.0,214,164,3.31
130,UIC ,54,355.1,197,168,3.31
131,San Diego ,52,359.0,209,170,3.31
132,Northwestern St. ,53,340.1,200,162,3.33
133,Creighton ,43,283.1,176,135,3.34
134,Bowling Green ,52,339.2,197,162,3.34
135,Oakland ,50,334.1,208,160,3.35
136,UTSA ,50,334.0,208,160,3.35
137,Cal Poly ,50,333.1,181,160,3.36
138,Weber St. ,54,347.2,230,167,3.36
139,Marist ,59,388.1,218,187,3.37
140,Central Ark. ,56,370.1,250,179,3.38
141,Towson ,61,391.0,235,189,3.38
142,Hawaii ,50,324.2,197,157,3.39
143,Yale ,40,272.2,169,132,3.39
144,Michigan St. ,52,336.2,214,164,3.41
145,Stetson ,51,326.1,212,159,3.41
146,Wichita St. ,55,360.2,233,177,3.44
147,Louisville ,53,352.0,223,173,3.44
148,UT Arlington ,58,398.1,230,196,3.44
149,UMass Lowell ,49,320.1,206,158,3.45
150,UNCW ,49,319.2,206,158,3.46
151,Wright St. ,53,354.0,236,175,3.46
152,North Dakota ,53,345.0,212,171,3.47
153,George Mason ,50,334.2,234,166,3.47
154,East Carolina ,55,366.0,229,182,3.48
155,Northern Ill. ,56,361.1,232,180,3.49
156,Youngstown St. ,51,334.0,211,167,3.50
157,North Texas ,52,351.0,222,176,3.51
158,NC State ,54,349.0,241,175,3.51
159,Hampton ,52,348.0,234,175,3.52
160,Florida A&M ,52,357.0,272,181,3.55
161,McNeese ,62,413.1,269,210,3.56
162,Norfolk St. ,50,330.1,243,169,3.58
163,Bethune-Cookman ,57,380.0,246,195,3.59
164,Kansas ,52,350.0,216,182,3.64
165,Western Ky. ,54,362.2,232,189,3.65
166,Murray St. ,52,349.2,221,183,3.66
167,Lamar University ,56,374.0,255,196,3.67
168,Charlotte ,50,334.1,233,176,3.68
169,Winthrop ,49,324.1,202,171,3.69
170,George Washington ,54,352.2,228,186,3.69
171,Northern Ky. ,46,303.0,198,160,3.70
172,ETSU ,46,296.2,182,157,3.70
173,Ga. Southern ,53,351.0,232,186,3.71
174,Harvard ,41,273.1,180,145,3.71
175,Stanford ,55,357.2,218,190,3.72
176,Quinnipiac ,51,323.2,247,172,3.72
177,Saint Louis ,57,370.0,242,197,3.73
178,Missouri ,59,386.2,269,206,3.73
179,Northern Colo. ,56,369.0,244,197,3.74
180,Chattanooga ,56,368.2,263,198,3.76
181,Grand Canyon ,59,382.2,262,206,3.77
182,Col. of Charleston ,58,378.2,245,204,3.77
183,Georgia St. ,55,379.2,236,205,3.78
184,Texas Tech ,59,399.2,264,216,3.78
185,Bradley ,50,321.2,261,174,3.79
186,Elon ,52,342.0,225,185,3.79
187,Abilene Christian ,49,325.0,209,176,3.79
188,Marshall ,55,369.0,241,200,3.79
189,Central Conn. St. ,49,323.0,201,176,3.81
190,Pacific ,47,311.1,223,170,3.82
191,Colorado St. ,50,338.2,219,185,3.82
192,Utah ,50,318.0,220,174,3.83
193,Coastal Caro. ,54,352.1,220,193,3.83
194,Northwestern ,57,374.1,255,206,3.85
195,Sam Houston St. ,57,379.1,248,210,3.88
196,South Dakota St. ,55,352.2,238,196,3.89
197,Fresno St. ,54,348.1,236,195,3.92
198,Southern Miss. ,55,368.1,264,207,3.93
199,Colgate ,43,285.0,218,161,3.95
200,Illinois St. ,54,359.2,247,204,3.97
201,Utah St. ,52,338.2,277,193,3.99
202,Butler ,48,321.0,220,183,3.99
203,Nebraska ,54,352.2,226,202,4.01
204,New Mexico St. ,53,341.2,253,196,4.02
205,Columbia ,40,271.2,194,157,4.05
206,Houston Baptist ,43,286.1,203,166,4.06
207,CSUN ,59,392.0,310,232,4.14
208,Miami ,49,328.1,228,195,4.16
209,Providence ,45,297.2,213,177,4.16
210,Iowa St. ,56,364.2,268,217,4.17
211,Fairfield ,53,350.1,248,209,4.18
212,Campbell ,56,361.1,265,218,4.22
213,Rhode Island ,47,311.1,234,188,4.23
214,Rider ,50,324.1,269,196,4.23
215,Niagara ,49,318.2,233,193,4.24
216,Appalachian St. ,52,338.2,294,208,4.30
217,La.-Monroe ,53,348.1,267,214,4.30
218,Savannah St. ,36,235.0,186,145,4.32
219,Nevada ,54,362.2,290,224,4.32
220,Holy Cross ,45,306.1,237,190,4.34
221,Saint Mary's ,49,315.2,254,196,4.35
222,Charleston So. ,56,358.2,266,223,4.35
223,Binghamton ,42,273.1,223,170,4.35
224,Southern U. ,40,256.1,217,161,4.40
225,Wagner ,43,274.2,223,175,4.46
226,Alabama A&M ,43,260.1,232,166,4.46
227,Canisius ,47,300.0,244,197,4.60
228,La Salle ,46,296.2,254,196,4.62
229,Utah Valley ,52,340.0,323,226,4.65
230,Purdue Fort Wayne ,54,349.0,298,232,4.65
231,Fairleigh Dickinson ,43,270.2,225,180,4.66
232,Eastern Mich. ,50,326.0,298,217,4.66
233,Western Ill. ,48,313.1,223,209,4.67
234,Prairie View ,43,274.1,214,183,4.67
235,Mount St. Mary's ,44,280.1,218,188,4.69
236,Penn ,37,251.0,205,170,4.74
237,A&M-Corpus Christi ,52,327.2,299,222,4.74
238,IUPUI ,49,310.0,259,211,4.76
239,Omaha ,51,330.2,288,226,4.78
240,Maryland ,55,357.0,316,244,4.78
241,St. John's ,50,324.2,260,222,4.79
242,Seton Hall ,54,355.0,318,248,4.89
243,Tennessee Tech ,49,310.0,281,217,4.90
243,UMBC ,43,280.0,254,196,4.90
245,UC Santa Barbara ,54,357.0,333,250,4.90
246,Rutgers ,50,337.2,282,237,4.91
247,Georgetown ,52,336.1,294,237,4.93
248,Delaware ,49,311.2,302,220,4.94
249,Incarnate Word ,49,314.0,271,222,4.95
250,Ark.-Pine Bluff ,46,285.2,264,202,4.95
251,Kent St. ,52,332.1,262,235,4.95
252,Villanova ,53,340.0,283,242,4.98
253,Cleveland St. ,49,319.2,264,228,4.99
254,Alabama St. ,54,340.2,316,245,5.03
255,Green Bay ,46,293.2,250,212,5.05
256,Detroit Mercy ,44,273.2,267,198,5.06
257,Portland St. ,52,331.2,294,240,5.07
258,Purdue ,56,362.1,310,263,5.08
259,Cornell ,40,261.1,244,191,5.12
260,Drexel ,52,324.2,313,240,5.17
261,Santa Clara ,46,304.0,259,226,5.20
262,Samford ,57,362.1,333,270,5.22
263,Gardner-Webb ,58,364.1,352,273,5.25
264,Robert Morris ,46,285.2,294,216,5.29
265,CSU Bakersfield ,44,282.0,272,217,5.39
266,Brown ,39,259.0,234,201,5.43
267,N.C. A&T ,44,285.2,319,225,5.51
268,UTEP ,54,344.0,316,271,5.51
269,Coppin St. ,40,261.0,266,209,5.61
270,Western Caro. ,52,324.2,307,261,5.63
271,Presbyterian ,46,282.0,290,227,5.63
272,Bryant ,45,279.2,282,226,5.66
273,Idaho St. ,47,298.0,310,243,5.71
274,Delaware St. ,48,301.0,304,248,5.77
275,LIU Brooklyn ,51,325.0,319,272,5.86
276,South Dakota ,55,339.2,359,287,5.91
277,Alcorn ,49,285.2,318,242,5.93
278,Hartford ,42,269.0,313,229,5.96
279,Penn St. ,50,318.1,338,271,5.96
280,Princeton ,39,246.2,248,216,6.13
281,Mississippi Val. ,45,273.0,303,244,6.26
282,Tennessee St. ,52,313.2,351,282,6.29
283,UMKC ,56,356.0,375,321,6.31
284,Howard ,45,263.1,356,239,6.35
285,Lafayette ,49,293.2,328,270,6.44
286,New Mexico ,53,326.0,372,300,6.44
287,Virginia ,53,333.2,379,308,6.46
288,St. Bonaventure ,42,251.0,284,234,6.53
289,UMES ,39,231.0,291,221,6.70
290,South Carolina St. ,33,201.2,276,196,6.80
291,Akron ,48,286.0,352,278,6.80
292,Buffalo ,47,275.1,336,272,6.92
293,Saint Peter's ,48,290.0,368,290,7.00
294,Grambling ,39,218.0,302,222,7.13
295,Southern Utah ,47,279.2,361,303,7.58
296,Jackson St. ,40,226.0,334,258,7.99
