Rank,College,GS,IP,HB
1,Morgan St. ,0,304,8
2,California ,0,374,9
3,Auburn ,0,397,10
3,Murray St. ,0,349,10
3,Baylor ,0,368,10
6,Alabama A&M ,0,260,11
6,Georgia St. ,0,379,11
6,South Dakota St. ,0,352,11
6,Yale ,0,272,11
6,Norfolk St. ,0,330,11
6,ETSU ,0,296,11
12,Western Mich. ,0,378,13
12,Nicholls St. ,0,370,13
12,Houston Baptist ,0,286,13
12,Southern U. ,0,256,13
12,San Jose St. ,0,322,13
17,Cleveland St. ,0,319,14
17,Minnesota ,0,384,14
17,Elon ,0,342,14
20,Austin Peay ,0,392,15
20,Pittsburgh ,0,346,15
20,Western Ky. ,0,362,15
20,Hartford ,0,269,15
24,Holy Cross ,0,306,16
24,Indiana ,0,373,16
24,Coppin St. ,0,261,16
24,Dartmouth ,0,262,16
24,Siena ,0,288,16
24,UNI ,0,348,16
24,Penn ,0,251,16
24,San Diego St. ,0,345,16
24,La.-Monroe ,0,348,16
