Rank,College,G,IP,SO,K/7
1,Minnesota ,56,367.2,487,9.27
2,Purdue Fort Wayne ,55,364.1,475,9.13
3,South Fla. ,60,396.2,509,8.98
4,USC Upstate ,55,362.0,450,8.70
5,Eastern Ky. ,51,340.2,407,8.36
6,Ga. Southern ,56,379.0,442,8.16
7,Tulsa ,62,417.0,479,8.04
8,UCF ,61,420.2,482,8.02
9,DePaul ,55,357.2,403,7.89
10,Baylor ,65,442.1,495,7.83
11,Mississippi St. ,60,398.0,438,7.70
12,South Alabama ,56,378.2,416,7.69
13,Arizona St. ,59,382.2,419,7.66
14,Northwestern ,53,332.2,363,7.64
15,Oregon ,66,430.0,468,7.62
16,Kansas ,57,378.1,411,7.60
17,San Diego ,47,329.2,346,7.35
18,Florida St. ,64,421.2,434,7.20
19,UCLA ,60,393.0,402,7.16
20,BYU ,57,372.1,379,7.13
21,Tennessee ,58,376.2,382,7.10
22,Dartmouth ,50,333.1,338,7.10
23,Villanova ,52,361.1,366,7.09
24,Georgia ,64,413.1,418,7.08
25,Creighton ,53,357.1,361,7.07
26,Oklahoma St. ,54,353.2,355,7.03
27,Ohio ,58,396.0,397,7.02
28,UAB ,59,400.1,401,7.01
29,Notre Dame ,54,358.0,358,7.00
30,Central Conn. St. ,45,302.2,300,6.94
31,Western Caro. ,53,347.1,341,6.87
32,Mount St. Mary's ,44,295.1,289,6.85
33,SIUE ,53,357.1,348,6.82
34,Kent St. ,45,304.2,293,6.73
35,North Dakota St. ,54,359.2,342,6.66
36,NC State ,54,353.0,334,6.62
37,Virginia Tech ,59,383.1,362,6.61
38,Savannah St. ,46,299.0,282,6.60
39,Coastal Carolina ,56,377.1,354,6.57
40,Jacksonville St. ,55,344.1,319,6.48
41,Louisiana ,60,413.0,380,6.44
42,Oklahoma ,64,398.2,365,6.41
43,Eastern Ill. ,55,380.1,347,6.39
44,Louisville ,58,380.0,346,6.37
45,Arizona ,60,368.2,333,6.32
46,LSU ,62,400.1,354,6.19
47,Kennesaw St. ,53,356.2,315,6.18
48,Washington ,52,320.2,282,6.16
49,McNeese ,57,369.0,324,6.15
50,Campbell ,58,394.1,345,6.12
